survey;station;ss;dat;LON;LAT;gear;timestart;timestop;Durat_min;Durat_hrs;geardepthstart;opr;weight;Catch_hr_gear
2013002;212;2013002212;16.Jun.13;36,929;21,77816667;TB;25.06.2013 16:14:00;25.06.2013 08:01:00;946,98;15,783;25;HAJO;0;0
2012901;212;2012901212;24.Nov.12;37,28016667;20,892;TB;25.06.2013 15:30:00;25.06.2013 07:35:00;964,98;16,083;70;AMJ;5,67;0,352546167
2013002;213;2013002213;16.Jun.13;36,9245;21,78066667;TB;25.06.2013 16:26:00;25.06.2013 08:11:00;945;15,75;51;HAJO;0;0
2012901;213;2012901213;24.Nov.12;37,28216667;20,88716667;TB;25.06.2013 15:40:00;25.06.2013 07:50:00;2670;44,5;70;AMJ;61,89;1,390786517
2012901;214;2012901214;24.Nov.12;37,29066667;20,86766667;TB;25.06.2013 15:50:00;25.06.2013 08:05:00;975;16,25;33;AMJ;2,66;0,163692308
2013002;214;2013002214;16.Jun.13;36,92866667;21,78133333;TB;25.06.2013 16:37:00;25.06.2013 08:18:00;940,98;15,683;40;HAJO;9,88;0,629981509
2012901;215;2012901215;24.Nov.12;37,29316667;20,86833333;TS;25.06.2013 15:55:00;25.06.2013 08:30:00;994,98;16,583;33;AMJ;9,71;0,585539408
2013002;215;2013002215;16.Jun.13;36,93083333;21,78133333;TB;25.06.2013 16:50:00;25.06.2013 08:26:00;936;15,6;60;HAJO;2,86;0,183333333
2013002;216;2013002216;16.Jun.13;36,89166667;21,77316667;TB;25.06.2013 17:14:00;25.06.2013 08:36:00;921,98;15,36633333;44;HAJO;0;0
2012901;216;2012901216;24.Nov.12;37,2925;20,86533333;TS;25.06.2013 16:05:00;25.06.2013 08:15:00;969,98;16,16633333;22;AMJ;0,47;0,029072764
2013002;217;2013002217;16.Jun.13;36,89166667;21,77033333;TB;25.06.2013 17:13:00;25.06.2013 08:47:00;933,98;15,56633333;35;HAJO;0;0
2012901;217;2012901217;24.Nov.12;37,28916667;20,86333333;TS;25.06.2013 16:10:00;25.06.2013 08:20:00;969,98;16,16633333;21;AMJ;1,35;0,083506876
2012901;218;2012901218;24.Nov.12;37,296;20,86466667;TB;25.06.2013 16:20:00;25.06.2013 08:40:00;979,98;16,333;60;AMJ;28,42;1,740035511
2013002;218;2013002218;17.Jun.13;36,98016667;21,51166667;TB;25.06.2013 14:35:00;25.06.2013 06:38:00;962,98;16,04966667;70;ADEL;0;0
2013002;219;2013002219;17.Jun.13;36,98933333;21,54;TB;25.06.2013 14:55:00;25.06.2013 06:58:00;962,98;16,04966667;35;ADEL;0,97;0,060437392
2012901;219;2012901219;24.Nov.12;37,296;20,862;TB;25.06.2013 16:30:00;25.06.2013 08:55:00;985;16,41666667;58;AMJ;7,36;0,448324873
2012901;220;2012901220;24.Nov.12;37,26833333;20,90516667;GN;25.06.2013 18:00:00;25.06.2013 06:00:00;720;12;0;AMJ;19,7;1,641666667
2013002;220;2013002220;17.Jun.13;36,992;21,54583333;TB;25.06.2013 15:01:00;25.06.2013 07:06:00;964,98;16,083;10;ADEL;0;0
2012901;221;2012901221;24.Nov.12;37,26833333;20,90516667;HL;25.06.2013 18:00:00;25.06.2013 21:00:00;180;3;0;AMJ;21,19;7,063333333
2013002;221;2013002221;17.Jun.13;36,9915;21,55033333;TB;25.06.2013 15:04:00;25.06.2013 07:17:00;972,98;16,21633333;40;ADEL;0;0
2012901;222;2012901222;25.Nov.12;37,15633333;20,96733333;TB;25.06.2013 14:40:00;25.06.2013 13:35:00;1374,98;22,91633333;27;AMJ;4,4;0,192002793
2013002;222;2013002222;17.Jun.13;36,99133333;21,55516667;TB;25.06.2013 15:17:00;25.06.2013 07:25:00;968;16,13333333;20;ADEL;0,51;0,03161157
2013002;223;2013002223;17.Jun.13;36,99183333;21,55983333;TB;25.06.2013 15:23:00;25.06.2013 07:32:00;968,98;16,14966667;15;ADEL;26,15;1,619228467
2012901;223;2012901223;25.Nov.12;37,15233333;20,9885;TB;25.06.2013 14:56:00;25.06.2013 13:15:00;1339;22,31666667;31;AMJ;2,01;0,090067214
2012901;224;2012901224;25.Nov.12;37,15233333;21,0045;TB;25.06.2013 15:00:00;25.06.2013 13:00:00;1319,98;21,99966667;31;AMJ;3,85;0,175002652
2013002;224;2013002224;17.Jun.13;36,99316667;21,56316667;TB;25.06.2013 15:33:00;25.06.2013 07:39:00;965,98;16,09966667;15;SHFI;0;0
2013002;225;2013002225;17.Jun.13;36,997;21,56316667;TB;25.06.2013 15:41:00;25.06.2013 07:55:00;974;16,23333333;15;ADEL;0;0
2012901;225;2012901225;25.Nov.12;37,14766667;21,02633333;TB;25.06.2013 15:17:00;25.06.2013 12:40:00;1283;21,38333333;32;AMJ;1,85;0,086515978
2013002;226;2013002226;17.Jun.13;36,9975;21,56316667;TB;25.06.2013 15:47:00;25.06.2013 07:45:00;958;15,96666667;40;ADEL;7,8;0,488517745
2012901;226;2012901226;25.Nov.12;37,15616667;21,02633333;TB;25.06.2013 15:27:00;25.06.2013 12:15:00;1247,98;20,79966667;31;AMJ;0;0
2012901;227;2012901227;25.Nov.12;37,17416667;21,01333333;TB;25.06.2013 15:35:00;25.06.2013 12:05:00;1229,98;20,49966667;32;AMJ;0;0
2013002;227;2013002227;17.Jun.13;36,9975;21,55583333;TB;25.06.2013 15:54:00;25.06.2013 08:02:00;968;16,13333333;41;ADEL;10,77;0,667561983
2012901;228;2012901228;25.Nov.12;37,174;21,047;TB;25.06.2013 15:56:00;25.06.2013 11:35:00;1178,98;19,64966667;32;AMJ;0;0
2013002;228;2013002228;17.Jun.13;36,99916667;21,5495;TB;25.06.2013 16:00:00;25.06.2013 08:10:00;970;16,16666667;45;ADEL;10,4;0,643298969
2013002;229;2013002229;17.Jun.13;36,97866667;21,50333333;TB;25.06.2013 16:26:00;25.06.2013 06:31:00;844,98;14,083;46;ADEL;1,27;0,090179649
2012901;229;2012901229;25.Nov.12;37,15233333;21,0435;TB;25.06.2013 16:10:00;25.06.2013 11:40:00;1170;19,5;29;MOTA;0;0
2013002;230;2013002230;17.Jun.13;36,9755;21,5055;TB;25.06.2013 16:43:00;25.06.2013 08:15:00;931,98;15,533;15;ADEL;1,4;0,090130689
2012901;230;2012901230;25.Nov.12;37,1415;21,027;TB;25.06.2013 16:30:00;25.06.2013 12:30:00;1200;20;27;MOT;26,95;1,3475
2012901;231;2012901231;25.Nov.12;37,155;20,98483333;TB;25.06.2013 17:00:00;25.06.2013 13:20:00;1219,98;20,333;30;MOTA;0;0
2013002;231;2013002231;17.Jun.13;36,96583333;21,49933333;TB;25.06.2013 16:43:00;25.06.2013 08:48:00;965;16,08333333;21;ADEL;0;0
2012901;232;2012901232;25.Nov.12;37,194;20,933;GN;25.06.2013 18:00:00;25.06.2013 07:00:00;779,98;12,99966667;0;AMJ;6,66;0,512320829
2013002;232;2013002232;17.Jun.13;36,9895;21,54;TB;25.06.2013 18:30:00;25.06.2013 06:00:00;689,98;11,49966667;5;ADEL;0,3;0,026087713
2012901;233;2012901233;25.Nov.12;37,194;20,933;HL;25.06.2013 14:00:00;25.06.2013 16:00:00;119,98;1,999666667;0;AMJ;7,43;3,71561927
2013002;233;2013002233;18.Jun.13;37,33383333;21,00066667;TB;25.06.2013 15:26:00;25.06.2013 06:26:00;900;15;42;ADEL;7,768;0,517866667
2012901;234;2012901234;26.Nov.12;37,19283333;20,88816667;BL;25.06.2013 18:00:00;25.06.2013 07:00:00;779,98;12,99966667;0;AMJ;0;0
2013002;234;2013002234;18.Jun.13;37,33383333;21,00566667;TB;25.06.2013 15:34:00;25.06.2013 06:36:00;902;15,03333333;67;ADEL;4,79;0,318625277
2013002;235;2013002235;18.Jun.13;37,3295;21,00783333;TB;25.06.2013 15:43:00;25.06.2013 06:44:00;900,98;15,01633333;64;ADEL;1,19;0,079247042
2012901;235;2012901235;26.Nov.12;37,2054;20,89713333;TB;25.06.2013 16:00:00;25.06.2013 10:50:00;1070;17,83333333;33;AMJ;30,75;1,724299065
2013002;236;2013002236;18.Jun.13;37,32733333;21,00416667;TB;25.06.2013 15:54:00;25.06.2013 06:53:00;899;14,98333333;34;ADEL;7,7;0,513904338
2012901;236;2012901236;26.Nov.12;37,20875;20,88783333;TB;25.06.2013 16:10:00;25.06.2013 10:40:00;1050;17,5;25;AMJ;4,61;0,263428571
2013002;237;2013002237;18.Jun.13;37,32516667;21,0035;TB;25.06.2013 16:00:00;25.06.2013 07:01:00;901;15,01666667;13;ADEL;0;0
2012901;237;2012901237;26.Nov.12;37,20633333;20,8845;TB;25.06.2013 16:15:00;25.06.2013 11:20:00;1025;17,08333333;47;MOH;0;0
2012901;238;2012901238;26.Nov.12;37,20633333;20,8815;TB;25.06.2013 16:20:00;25.06.2013 11:30:00;1210;20,16666667;48;MOH;0;0
2013002;238;2013002238;18.Jun.13;37,32383333;21,0065;TB;25.06.2013 16:07:00;25.06.2013 07:07:00;900;15;42;ADEL;14,418;0,9612
2012901;239;2012901239;26.Nov.12;37,21083333;20,87633333;TB;25.06.2013 16:30:00;25.06.2013 11:45:00;1155;19,25;0;AMJ;0;0
2013002;239;2013002239;18.Jun.13;37,32083333;21,00566667;TB;25.06.2013 16:13:00;25.06.2013 07:21:00;908;15,13333333;22;ADEL;1,49;0,09845815
2012901;240;2012901240;26.Nov.12;37,21533333;20,875;TB;25.06.2013 16:40:00;25.06.2013 11:50:00;1149,98;19,16633333;0;;0;0
2013002;240;2013002240;18.Jun.13;37,32033333;21,00316667;TB;25.06.2013 16:19:00;25.06.2013 07:28:00;909;15,15;19;ADEL;0;0
2013002;241;2013002241;18.Jun.13;37,31783333;21,00283333;TB;25.06.2013 16:23:00;25.06.2013 07:32:00;908,98;15,14966667;25;SMS;1,33;0,08779071
2012901;241;2012901241;25.Nov.12;37,21933333;20,87266667;TB;25.06.2013 16:45:00;25.06.2013 12:05:00;1135;18,91666667;21;AAA;0;0
2012901;242;2012901242;26.Nov.12;37,21866667;20,872;TB;25.06.2013 16:50:00;25.06.2013 12:00:00;1110;18,5;16;AMJ;0;0
2013002;242;2013002242;18.Jun.13;37,31833333;20,99983333;TB;25.06.2013 16:29:00;25.06.2013 07:38:00;909;15,15;33;SMS;7,12;0,469966997
2013002;243;2013002243;18.Jun.13;37,32266667;21,0025;TB;25.06.2013 16:36:00;25.06.2013 07:48:00;911,98;15,19966667;14;SMS;30,446;2,003070243
2012901;243;2012901243;26.Nov.12;37,209;20,879;TB;25.06.2013 17:00:00;25.06.2013 11:35:00;1115;18,58333333;43;AMJ;0;0
2012901;244;2012901244;26.Nov.12;37,20083333;20,8855;TB;25.06.2013 17:10:00;25.06.2013 11:10:00;1080;18;50;AMJ;0;0
2013002;244;2013002244;18.Jun.13;37,3255;21,002;TB;25.06.2013 16:42:00;25.06.2013 08:16:00;934;15,56666667;13;ADEL;12,59;0,808779443
2013002;245;2013002245;18.Jun.13;37,32433333;20,999;TB;25.06.2013 16:47:00;25.06.2013 07:58:00;910,98;15,183;20;ADEL;4,31;0,283870118
2012901;245;2012901245;26.Nov.12;37,1885;20,92066667;HL;25.06.2013 19:00:00;25.06.2013 08:00:00;660;11;0;AMJ;17,88;1,625454545
2012901;246;2012901246;26.Nov.12;37,30716667;20,5895;GN;25.06.2013 18:00:00;25.06.2013 07:00:00;779,98;12,99966667;0;AMJ;0;0
2013002;246;2013002246;18.Jun.13;37,32616667;20,99516667;TB;25.06.2013 16:54:00;25.06.2013 08:06:00;911,98;15,19966667;25;ADEL;7,88;0,518432422
2012901;247;2012901247;27.Nov.12;37,32016667;20,7795;TB;25.06.2013 16:00:00;25.06.2013 09:00:00;1020;17;30;AMJ;0;0
2013002;247;2013002247;18.Jun.13;37,31566667;21,00383333;GN;25.06.2013 18:10:00;25.06.2013 18:16:00;1445,98;24,09966667;7;ADEL;0;0
2013002;248;2013002248;20.Jun.13;37,2095;20,91066667;TB;25.06.2013 14:57:00;25.06.2013 06:32:00;934,98;15,583;10;MA;0;0
2012901;248;2012901248;27.Nov.12;37,3025;20,77666667;TB;25.06.2013 16:10:00;25.06.2013 07:35:00;1045;17,41666667;37;AMJ;0,5;0,028708134
2013002;249;2013002249;20.Jun.13;37,20333333;20,90716667;TB;25.06.2013 15:08:00;25.06.2013 06:41:00;932,98;15,54966667;20;MA;3,51;0,225728311
2012901;249;2012901249;27.Nov.12;37,3005;20,77783333;TB;25.06.2013 16:15:00;25.06.2013 07:30:00;914,98;15,24966667;33;AMJ;0,54;0,03541061
2012901;250;2012901250;27.Nov.12;37,29973333;20,772;TB;25.06.2013 16:25:00;25.06.2013 07:45:00;1040;17,33333333;71;AMJ;2,93;0,169038462
2013002;250;2013002250;20.Jun.13;37,2025;20,89866667;TB;25.06.2013 15:19:00;25.06.2013 06:49:00;930;15,5;43;MA;0;0
2013002;251;2013002251;20.Jun.13;37,20516667;20,8915;TB;25.06.2013 15:28:00;25.06.2013 06:58:00;930;15,5;42;MA;0;0
2012901;251;2012901251;27.Nov.12;37,29823333;20,76868333;TB;25.06.2013 16:30:00;25.06.2013 08:00:00;930;15,5;50;AMJ;1,33;0,085806452
2012901;252;2012901252;27.Nov.12;37,30216667;20,78116667;TB;25.06.2013 16:40:00;25.06.2013 08:05:00;1165;19,41666667;64;AA;4,37;0,225064378
2013002;252;2013002252;20.Jun.13;37,2055;20,885;TB;25.06.2013 15:35:00;25.06.2013 07:09:00;934;15,56666667;46;MA;0;0
2013002;253;2013002253;20.Jun.13;37,20916667;20,88416667;TB;25.06.2013 15:41:00;25.06.2013 07:21:00;940;15,66666667;14;MA;3,28;0,209361702
2012901;253;2012901253;27.Nov.12;37,30223333;20,76328333;TB;25.06.2013 16:45:00;25.06.2013 08:15:00;930;15,5;23;AMJ;0,77;0,049677419
2013002;254;2013002254;20.Jun.13;37,20983333;20,87783333;TB;25.06.2013 15:48:00;25.06.2013 07:30:00;942;15,7;48;MA;0;0
2012901;254;2012901254;27.Nov.12;37,30603333;20,76158333;TB;25.06.2013 16:50:00;25.06.2013 08:25:00;935;15,58333333;26;AMJ;0,22;0,014117647
2012901;255;2012901255;27.Nov.12;37,3095;20,75655;TB;25.06.2013 17:00:00;25.06.2013 08:30:00;930;15,5;25;MOS;15,2;0,980645161
2013002;255;2013002255;20.Jun.13;37,2165;20,87416667;TB;25.06.2013 15:54:00;25.06.2013 07:38:00;944;15,73333333;27;MA;0,61;0,038771186
2013002;256;2013002256;20.Jun.13;37,223;20,8835;TB;25.06.2013 16:04:00;25.06.2013 07:48:00;943,98;15,733;11;MA;1;0,063560669
2012901;256;2012901256;27.Nov.12;37,2995;20,792;TB;25.06.2013 17:30:00;25.06.2013 07:00:00;810;13,5;60;AMJ;0;0
2012901;257;2012901257;27.Nov.12;37,31516667;20,79016667;TB;25.06.2013 17:45:00;25.06.2013 07:10:00;805;13,41666667;34;AMJ;0;0
2013002;257;2013002257;20.Jun.13;37,23033333;20,894;TB;25.06.2013 16:12:00;25.06.2013 07:57:00;945;15,75;5;MA;0;0
2013002;258;2013002258;20.Jun.13;37,23766667;20,89816667;TB;25.06.2013 16:24:00;25.06.2013 08:07:00;942,98;15,71633333;15;MA;0;0
2012901;258;2012901258;27.Nov.12;37,3151;20,79018333;TB;25.06.2013 17:40:00;25.06.2013 07:05:00;805;13,41666667;34;MOH;1,12;0,083478261
2012901;259;2012901259;27.Nov.12;37,31066667;20,75516667;TB;25.06.2013 17:10:00;25.06.2013 08:40:00;870;14,5;16;AMJ;0;0
2013002;259;2013002259;20.Jun.13;37,24766667;20,89816667;TB;25.06.2013 16:33:00;25.06.2013 08:16:00;943;15,71666667;21;MA;13,37;0,85068929
2013002;260;2013002260;20.Jun.13;37,255;20,90116667;TB;25.06.2013 16:39:00;25.06.2013 08:27:00;947,98;15,79966667;26;MA;0,88;0,055697378
2013002;261;2013002261;20.Jun.13;37,24866667;20,90333333;TB;25.06.2013 16:45:00;25.06.2013 08:38:00;953;15,88333333;28;MA;0,63;0,039664218
2013002;262;2013002262;21.Jun.13;37,18566667;20,93633333;GN;25.06.2013 18:00:00;26.06.2013 07:00:00;780;13;0;MA;1,89;0,145384615
2013002;263;2013002263;20.Jun.13;37,18566667;20,93633333;HL;25.06.2013 20:00:00;25.06.2013 23:30:00;1649,98;27,49966667;0;MA;21,01;0,764009261
2013002;264;2013002264;21.Jun.13;37,20166667;20,95766667;TB;25.06.2013 14:48:00;25.06.2013 06:32:00;943,98;15,733;32;MA;0;0
2013002;265;2013002265;21.Jun.13;37,20116667;20,966;TB;25.06.2013 14:56:00;25.06.2013 06:41:00;945;15,75;32;MA;0;0
